Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
COVID_Crash_2020,AAPL,stock,Weekly_50_Daily_5,Weekly 50% + Daily 5% overlay,58914.05458758706,17.82810917517412,42.55622173976905,-0.37570529089288346,87.5,0.9991990544834958,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Portfolio_Equal_Weight,Weekly all-in split across 5 stocks,67618.0979116435,35.236195823287005,92.0099166496946,-0.6643309016837358,95.83333333333334,1.261709990361186,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Portfolio_Vol_Weight,"Weekly, weight by inverse volatility",67618.0979116435,35.236195823287005,92.0099166496946,-0.6643309016837358,95.83333333333334,1.261709990361186,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Double_After_Loss,"Weekly, double position after loss",58373.048801222205,16.746097602444408,39.74204047600631,0.0,100.0,1.374983197785606,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Safe_Periods,"Weekly all-in, skip high-vol periods",52231.26560083405,4.4625312016680985,42.52676331465659,0.0,85.71428571428571,1.1980740648985428,7,0.12320328542094455,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_All_In_ATM,"Weekly ATM, 100% capital - proven winner",68696.7438777557,37.393487755511394,98.69105582351283,-1.6943405120948964,91.66666666666666,0.9807283541731204,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_All_In_95,"Weekly 5% OTM, 100% capital - safer",72327.73593969861,44.65547187939723,122.08669643728865,0.0,100.0,1.1846438368389929,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,MSFT,stock,Weekly_All_In_97,"Weekly 3% OTM, 100% capital",70473.2779263436,40.94655585268719,109.96304690658674,0.0,100.0,1.2205749689930965,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,MSFT,stock,Daily_50pct_ATM,Daily ATM with 50% capital - safer compounding,51315.41294036019,2.6308258807203817,5.379989222754578,-13.25191303202291,70.16129032258065,0.03428994280008825,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Daily_75pct_ATM,Daily ATM with 75% capital,52630.825880720404,5.261651761440808,10.902220123038298,-25.99801940976994,70.16129032258065,0.03428994280008825,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Daily_50pct_OTM5,Daily 5% OTM with 50% capital,64440.34261655016,28.880685233100316,66.8607471268633,-2.7296782173120415,96.7741935483871,0.5892524862788693,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_All_In_ATM_SL20,"Weekly ATM 100%, stop at -20%",68696.7438777557,37.393487755511394,98.69105582351283,-1.6943405120948964,91.66666666666666,0.9807283541731204,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_All_In_ATM_SL30,"Weekly ATM 100%, stop at -30%",68696.7438777557,37.393487755511394,98.69105582351283,-1.6943405120948964,91.66666666666666,0.9807283541731204,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_75pct_ATM_SL25,"Weekly ATM 75%, stop at -25%",61919.09994804202,23.838199896084042,58.738175161806396,-1.1550941235096797,91.66666666666666,0.9808317290468551,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Daily_Compound_Max5,"Daily compounding, max 5% of capital per trade",51315.41294036019,2.6308258807203817,5.379989222754578,-13.25191303202291,70.16129032258065,0.03428994280008825,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Daily_Compound_Max10,"Daily compounding, max 10% of capital per trade",51315.41294036019,2.6308258807203817,5.379989222754578,-13.25191303202291,70.16129032258065,0.03428994280008825,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Daily_Momentum_50pct,Daily 50% capital only on up days,57920.422030233785,15.840844060467571,34.545790552674525,-0.9269307352236658,95.95959595959596,0.8965689241055453,99,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Momentum_AllIn,Weekly all-in only after up weeks,63058.31786108633,26.116635722172667,65.11767109810518,0.0,100.0,1.2257843781735547,20,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Vol_Adaptive,"Weekly, size by volatility (10-100%)",55070.907290623385,10.14181458124677,23.216520522278827,-0.07283865448454042,95.83333333333334,1.272854441981844,24,0.46269678302532513,False,False,False,False
